Strain Type,THCa,Total THC,CBDa,Total CBD,Total CBG,Expires,product_name,Total CBC,Total CBN
Hybrid,25.03%,22.43%,0.07%,0.06%,0.56%,1/11/2024,black-sheep-sunset-punch-biscotti-3-5-gr-flower,,
Indica,24.71%,21.93%,0.08%,0.07%,0.53%,1/18/2024,black-sheep-point-break-7-gr-flower,,
Hybrid,25.03%,22.43%,0.07%,0.06%,0.56%,1/11/2024,black-sheep-sunset-punch-biscotti-7-gr-flower,,
Hybrid,25.72%,22.87%,0.07%,0.06%,0.9%,1/10/2024,black-sheep-peanut-butter-souffle-7-gr-flower,,
Sativa,29.59%,26.34%,0.09%,0.08%,0.98%,1/9/2024,dragonfly-malawi-sunrise-3-5-gr-flower,,
Sativa,26.77%,24.1%,0.07%,0.06%,1.84%,12/28/2023,dragonfly-sherb-crasher-3-5-gr-flower,,
Hybrid,29.53%,27.2%,0.08%,0.07%,3.47%,10/17/2023,dragonfly-maple-canyon-kush-3-5-gr-flower,0.03%,
Indica Dominant Hybrid,21.69%,19.95%,0.06%,0.05%,2.03%,12/5/2023,dragonfly-rocket-fuel-3-5g-flower,,
Indica,19.51%,17.73%,0.05%,0.04%,0.51%,2/27/2024,high-variety-zookies-14-gr-flower,,
Indica,17.99%,16.2%,0.05%,0.04%,0.62%,2/10/2024,high-variety-gello-14-gr-flower,,
Indica,16.95%,15.3%,0.04%,0.04%,0.56%,2/16/2024,high-variety-gobbilygoo-5-gr-flower,,
Indica,21.02%,19.22%,0.05%,0.05%,0.52%,2/3/2024,true-north-organics-grape-cakes-1-gr-flower,,
Indica,17.99%,16.2%,0.05%,0.04%,0.62%,2/14/2024,high-variety-gello-5-gr-flower,,
Sativa Dominant Hybrid,26.93%,24.3%,0.07%,0.06%,0.12%,2/14/2024,high-variety-han-solo-burger-5-gr-flower,,
Hybrid,29.96%,26.68%,0.07%,0.06%,1.11%,11/21/2023,zion-tally-man-3-3-5-gr-flower,,
Hybrid,29.96%,25.2%,0.07%,0.06%,1.11%,11/21/2023,zion-tally-man-3-7-gr-flower,,
Hybrid,26.88%,23.97%,0.07%,0.06%,0.69%,8/9/2023,zion-candy-margy-3-5-gr-flower,,
Hybrid,19.7%,17.61%,0.05%,0.04%,0.56%,2/23/2024,pure-plan-rowes-bud-3-5-gr-flower,,
Hybrid,31.9%,28.49%,0.07%,0.06%,0.95%,1/18/2024,pure-plan-banana-dulce-8-3-5-gr-flower,,
Indica Dominant Hybrid,28.2%,25.09%,0.07%,0.06%,1.76%,10/20/2024,pure-plan-white-lightning-3-5-gr-flower,,
Hybrid,29.12%,26.56%,0.09%,0.08%,2.11%,11/29/2023,pure-plan-sunset-cookies-3-5-gr-flower,,
Hybrid,23.59%,23.73%,0.06%,0.06%,0.62%,2/14/2024,pure-plan-grape-pie-x-tahoe-og-7-gr-flower,0.05%,
