0,1
https://www.wholesome.co/shop/flower/dragonfly-rocket-fuel-3-5g-flower,"{'Strain Type': 'Indica', 'THCa': '23.13%', 'Total THC': '20.75%', 'CBDa': '0.07%', 'Total CBD': '0.06%', 'Total CBG': '1.76%', 'Expires': '12/9/2023'}"
https://www.wholesome.co/shop/flower/dragonfly-malawi-sunrise-3-5-gr-flower,"{'Strain Type': 'Sativa', 'THCa': '28.66%', 'Total THC': '25.52%', 'CBDa': '0.09%', 'Total CBD': '0.08%', 'Total CBG': '0.88%', 'Expires': '1/19/2024'}"
https://www.wholesome.co/shop/flower/dragonfly-mac-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '25.41%', 'Total THC': '22.62%', 'CBDa': '0.08%', 'Total CBD': '0.07%', 'Total CBG': '2.31%', 'Expires': '2/1/2024'}"
https://www.wholesome.co/shop/flower/zion-mad-max-3-5-gr-popcorn-flower-flower,"{'Strain Type': 'Sativa', 'THCa': '24.35%', 'Total THC': '21.55%', 'CBDa': '0.06%', 'Total CBD': '0.05%', 'Total CBG': '1.18%', 'Expires': '12/20/2023'}"
https://www.wholesome.co/shop/flower/zion-mad-max-7-gr-flower,"{'Strain Type': 'Sativa', 'THCa': '29.69%', 'Total THC': '26.21%', 'CBDa': '0.07%', 'Total CBD': '0.06%', 'Total CBG': '2.4%', 'Expires': '2/8/2024'}"
https://www.wholesome.co/shop/flower/zion-candy-margy-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '28.6%', 'Total THC': '25.61%', 'CBDa': '0.07%', 'Total CBD': '0.06%', 'Total CBG': '0.92%', 'Expires': '11/7/2023'}"
https://www.wholesome.co/shop/flower/zion-tally-man-3-3-5-gr-greenhouse,"{'Strain Type': 'Hybrid', 'THCa': '23.26%', 'Total THC': '20.59%', 'CBDa': '0.06%', 'Total CBD': '0.05%', 'Total CBG': '0.91%', 'Expires': '12/20/2023'}"
https://www.wholesome.co/shop/flower/zion-wedding-cake-7-gr-flower,"{'Strain Type': 'Indica', 'THCa': '29.34%', 'Total THC': '25.97%', 'CBDa': '0.08%', 'Total CBD': '0.07%', 'Total CBG': '2.17%', 'Expires': '2/8/2024'}"
https://www.wholesome.co/shop/flower/pure-plan-banana-dulce-8-7-gr-greenhouse-flower,"{'Strain Type': 'Indica', 'THCa': '23.06%', 'Total THC': '20.93%', 'CBDa': '0.05%', 'Total CBD': '0.05%', 'Total CBG': '0.71%', 'Expires': '2/9/2024'}"
https://www.wholesome.co/shop/flower/pure-plan-big-easy-og-x-orange-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '21.18%', 'Total THC': '20.12%', 'CBDa': '0.07%', 'Total CBD': '0.06%', 'Total CBG': '0.43%', 'Expires': '10/26/2023'}"
https://www.wholesome.co/shop/flower/pure-plan-banana-dulce-8-3-5-gr-flower,"{'Strain Type': 'Indica', 'THCa': '23.06%', 'Total THC': '20.93%', 'CBDa': '0.05%', 'Total CBD': '0.05%', 'Total CBG': '0.71%', 'Expires': '2/9/2024'}"
https://www.wholesome.co/shop/flower/high-variety-gobbilygoo-5-gr-greenhouse-flower,"{'Strain Type': 'Indica', 'THCa': '16.95%', 'Total THC': '15.3%', 'CBDa': '0.04%', 'Total CBD': '0.04%', 'Total CBG': '0.56%', 'Expires': '2/16/2024'}"
https://www.wholesome.co/shop/flower/wholesomeco-mint-jelly-3-5-gr-popcorn-flower,"{'Strain Type': 'Hybrid', 'THCa': '16.25%', 'Total THC': '14.83%', 'CBDa': '0.08%', 'Total CBD': '0.07%', 'Total CBC': '16.25%', 'Total CBG': '0.38%', 'Expires': '9/21/2023'}"
https://www.wholesome.co/shop/flower/zion-tally-man-3-3-5-gr-popcorn-flower,"{'Strain Type': 'Hybrid', 'THCa': '21.09%', 'Total THC': '19.4%', 'CBDa': '0.08%', 'Total CBD': '0.07%', 'Total CBC': '0.02%', 'Total CBG': '0.56%', 'Expires': '12/20/2023'}"
https://www.wholesome.co/shop/flower/tryke-refined-taste-3-5-gr-flower,"{'Strain Type': 'Indica', 'THCa': '22.75%', 'Total THC': '20.33%', 'CBDa': '0.05%', 'Total CBD': '0.05%', 'Total CBG': '1.08%', 'Expires': '7/4/2023'}"
https://www.wholesome.co/shop/flower/tryke-secret-sauce-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '23.15%', 'Total THC': '21.61%', 'CBDa': '0.06%', 'Total CBD': '0.05%', 'Total CBC': '0.01%', 'Total CBG': '0.79%', 'Expires': '10/5/2023'}"
https://www.wholesome.co/shop/flower/hilight-sour-apple-3-5-gr-popcorn-flower,"{'Strain Type': 'Sativa', 'THCa': '18.17%', 'Total THC': '16.33%', 'CBDa': '0.04%', 'Total CBD': '0.04%', 'Total CBG': '0.3%', 'Expires': '9/20/2023'}"
