Strain Type,THCa,Total THC,CBDa,Total CBD,Total CBG,Expires,product_name,Total CBC,Total CBN,filename,filedate,dt_cols
Indica,23.06%,20.93%,0.05%,0.05%,0.71%,1/18/2024,pure-plan-banana-dulce-8-7-gr-flower,,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Hybrid,21.18%,20.12%,0.07%,0.06%,0.43%,10/26/2023,pure-plan-big-easy-og-x-orange-3-5-gr-flower,,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Indica,23.06%,20.93%,0.05%,0.05%,0.71%,2/9/2024,pure-plan-banana-dulce-8-3-5-gr-flower,,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Indica,20.5%,18.8%,0.05%,0.04%,0.94%,1/30/2024,hilight-sleeping-with-the-stars-3-5-gr-flower,,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Hybrid,16.25%,14.83%,0.08%,0.07%,0.38%,9/21/2023,wholesomeco-mint-jelly-3-5-gr-popcorn-flower,16.25%,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Indica,22.75%,20.33%,0.05%,0.05%,1.08%,7/4/2023,tryke-refined-taste-3-5-gr-flower,,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Hybrid,23.15%,21.61%,0.06%,0.05%,0.79%,10/5/2023,tryke-secret-sauce-3-5-gr-flower,0.01%,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Sativa,18.17%,16.33%,0.04%,0.04%,0.3%,9/20/2023,hilight-sour-apple-3-5-gr-popcorn-flower,,,product_data_04_18_2023_1014.txt,04_18_2023_1014,4
Hybrid,24.16%,22.39%,0.06%,0.06%,0.91%,1/30/2024,hilight-gelato-41-x-dosidos-3-5-gr-flower,,,product_data_04_23_2023_1357.txt,04_23_2023_1357,4
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-3-5-gr-flower,0.02%,0.02%,product_data_04_23_2023_1357.txt,04_23_2023_1357,4
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-7-gr-flower,0.02%,0.02%,product_data_04_23_2023_1357.txt,04_23_2023_1357,4
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-3-5-gr-popcorn-flower-flower,0.02%,0.02%,product_data_04_23_2023_1357.txt,04_23_2023_1357,4
